Syncmode 0, Channel 6:
9e eab4c eab48
9d eab48 eab44
9c eab44 eab40
9b eab40 eab3c
9a eab3c eab38
99 eab38 eab34
98 eab34 eab30
97 eab30 eab2c
96 eab2c eab28
95 eab28 eab24
94 eab24 eab20
93 eab20 eab1c
92 eab1c eab18
91 eab18 eab14
90 eab14 eab10
8f eab10 eab0c
8e eab0c eab08
8d eab08 eab04
8c eab04 eab00
8b eab00 eaafc
8a eaafc eaaf8
89 eaaf8 eaaf4
88 eaaf4 eaaf0
87 eaaf0 eaaec
86 eaaec eaae8
85 eaae8 eaae4
84 eaae4 eaae0
83 eaae0 eaadc
82 eaadc eaad8
81 eaad8 eaad4
80 eaad4 eaad0
7f eaad0 eaacc
7e eaacc eaac8
7d eaac8 eaac4
7c eaac4 eaac0
7b eaac0 eaabc
7a eaabc eaab8
79 eaab8 eaab4
78 eaab4 eaab0
77 eaab0 eaaac
76 eaaac eaaa8
75 eaaa8 eaaa4
74 eaaa4 eaaa0
73 eaaa0 eaa9c
72 eaa9c eaa98
71 eaa98 eaa94
70 eaa94 eaa90
6f eaa90 eaa8c
6e eaa8c eaa88
6d eaa88 eaa84
6c eaa84 eaa80
6b eaa80 eaa7c
6a eaa7c eaa78
69 eaa78 eaa74
68 eaa74 eaa70
67 eaa70 eaa6c
66 eaa6c eaa68
65 eaa68 eaa64
64 eaa64 eaa60
63 eaa60 eaa5c
62 eaa5c eaa58
61 eaa58 eaa54
60 eaa54 eaa50
5f eaa50 eaa4c
5e eaa4c eaa48
5d eaa48 eaa44
5c eaa44 eaa40
5b eaa40 eaa3c
5a eaa3c eaa38
59 eaa38 eaa34
58 eaa34 eaa30
57 eaa30 eaa2c
56 eaa2c eaa28
55 eaa28 eaa24
54 eaa24 eaa20
53 eaa20 eaa1c
52 eaa1c eaa18
51 eaa18 eaa14
50 eaa14 eaa10
4f eaa10 eaa0c
4e eaa0c eaa08
4d eaa08 eaa04
4c eaa04 eaa00
4b eaa00 ea9fc
4a ea9fc ea9f8
49 ea9f8 ea9f4
48 ea9f4 ea9f0
47 ea9f0 ea9ec
46 ea9ec ea9e8
45 ea9e8 ea9e4
44 ea9e4 ea9e0
43 ea9e0 ea9dc
42 ea9dc ea9d8
41 ea9d8 ea9d4
40 ea9d4 ea9d0
3f ea9d0 ea9cc
3e ea9cc ea9c8
3d ea9c8 ea9c4
3c ea9c4 ea9c0
3b ea9c0 ea9bc
3a ea9bc ea9b8
39 ea9b8 ea9b4
38 ea9b4 ea9b0
37 ea9b0 ea9ac
36 ea9ac ea9a8
35 ea9a8 ea9a4
34 ea9a4 ea9a0
33 ea9a0 ea99c
32 ea99c ea998
31 ea998 ea994
30 ea994 ea990
2f ea990 ea98c
2e ea98c ea988
2d ea988 ea984
2c ea984 ea980
2b ea980 ea97c
2a ea97c ea978
29 ea978 ea974
28 ea974 ea970
27 ea970 ea96c
26 ea96c ea968
25 ea968 ea964
24 ea964 ea960
23 ea960 ea95c
22 ea95c ea958
21 ea958 ea954
20 ea954 ea950
1f ea950 ea94c
1e ea94c ea948
1d ea948 ea944
1c ea944 ea940
1b ea940 ea93c
1a ea93c ea938
19 ea938 ea934
18 ea934 ea930
17 ea930 ea92c
16 ea92c ea928
15 ea928 ea924
14 ea924 ea920
13 ea920 ea91c
12 ea91c ea918
11 ea918 ea914
10 ea914 ea910
f ea910 ea90c
e ea90c ea908
d ea908 ea904
c ea904 ea900
b ea900 ea8fc
a ea8fc ea8f8
9 ea8f8 ea8f4
8 ea8f4 ea8f0
7 ea8f0 ea8ec
6 ea8ec ea8e8
5 ea8e8 ea8e4
4 ea8e4 ea8e0
3 ea8e0 ea8dc
2 ea8dc ea8d8
ea8d8 ffffff
Syncmode 2 channel 
6ffffff 800ea888 Next: ffffff e307ffff
6ffffff 800ea88c Next: ffffff e407ffff
6ffffff 800ea890 Next: ffffff e5257caf
6ffffff 800ea894 Next: ffffff e10002af
6ffffff 800ea898 Next: ffffff e20ad54a
6ffffff 800ea89c Next: ffffff e6000000
